city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Baghdad,Baghdad,33.3153,44.3661,Iraq,IQ,IRQ,Baghdād,primary,6183000,1368596238
Baltimore,Baltimore,39.3051,-76.6144,United States,US,USA,Maryland,,2189589,1840001592
Bangalore,Bangalore,12.9789,77.5917,India,IN,IND,Karnātaka,admin,15386000,1356410365
Bangkok,Bangkok,13.7525,100.4942,Thailand,TH,THA,Krung Thep Maha Nakhon,primary,18007000,1764068610
Barcelona,Barcelona,41.3833,2.1833,Spain,ES,ESP,Catalonia,admin,4800000,1724594040
Beijing,Beijing,39.9067,116.3975,China,CN,CHN,Beijing,primary,18522000,1156228865
Berlin,Berlin,52.5200,13.4050,Germany,DE,DEU,Berlin,primary,4679500,1276451290
Boston,Boston,42.3188,-71.0852,United States,US,USA,Massachusetts,admin,4355184,1840000455
Buenos Aires,Buenos Aires,-34.6036,-58.3814,Argentina,AR,ARG,"Buenos Aires, Ciudad Autónoma de",primary,16710000,1032717330
Cairo,Cairo,30.0444,31.2358,Egypt,EG,EGY,Al Qāhirah,primary,20296000,1818253931
Cangzhou,Cangzhou,38.3047,116.8387,China,CN,CHN,Hebei,minor,7300783,1156698069
Cape Town,Cape Town,-33.9253,18.4239,South Africa,ZA,ZAF,Western Cape,primary,4770313,1710680650
Casablanca,Casablanca,33.5333,-7.5833,Morocco,MA,MAR,Casablanca-Settat,admin,3215935,1504175315
Chengdu,Chengdu,30.6600,104.0633,China,CN,CHN,Sichuan,admin,14645000,1156421555
Chicago,Chicago,41.8375,-87.6866,United States,US,USA,Illinois,,8489066,1840000494
Chongqing,Chongqing,29.5637,106.5504,China,CN,CHN,Chongqing,admin,12135000,1156936556
Dallas,Dallas,32.7935,-96.7667,United States,US,USA,Texas,,5843632,1840019440
Delhi,Delhi,28.6100,77.2300,India,IN,IND,Delhi,admin,32226000,1356872604
Denver,Denver,39.7620,-104.8758,United States,US,USA,Colorado,admin,2691349,1840018789
Detroit,Detroit,42.3834,-83.1024,United States,US,USA,Michigan,,3716929,1840003971
Dhaka,Dhaka,23.7289,90.3944,Bangladesh,BD,BGD,Dhaka,primary,19134000,1050529279
Dubai,Dubai,25.2631,55.2972,United Arab Emirates,AE,ARE,Dubayy,admin,3331420,1784736618
Fuyang,Fuyang,32.8900,115.8140,China,CN,CHN,Anhui,,7599913,1156248008
Ganzhou,Ganzhou,25.8310,114.9330,China,CN,CHN,Jiangxi,minor,7396873,1156832475
Giza,Giza,29.9870,31.2118,Egypt,EG,EGY,Al Jīzah,admin,5598402,1818925479
Guangzhou,Guangzhou,23.1300,113.2600,China,CN,CHN,Guangdong,admin,26940000,1156237133
Hamilton,Hamilton,43.2567,-79.8692,Canada,CA,CAN,Ontario,,729560,1124567288
Hangzhou,Hangzhou,30.2670,120.1530,China,CN,CHN,Zhejiang,admin,9523000,1156275243
Hanoi,Hanoi,21.0000,105.8500,Vietnam,VN,VNM,Hà Nội,primary,8587100,1704413791
Ho Chi Minh City,Ho Chi Minh City,10.7756,106.7019,Vietnam,VN,VNM,Hồ Chí Minh,admin,15136000,1704774326
Hong Kong,Hong Kong,22.3000,114.2000,Hong Kong,HK,HKG,,primary,7450000,1344982653
Houston,Houston,29.7860,-95.3885,United States,US,USA,Texas,,6046392,1840020925
Hyderābād,Hyderabad,17.3617,78.4747,India,IN,IND,Telangāna,admin,10494000,1356871768
Istanbul,Istanbul,41.0136,28.9550,Turkey,TR,TUR,İstanbul,admin,14441000,1792756324
Jakarta,Jakarta,-6.1750,106.8275,Indonesia,ID,IDN,Jakarta,primary,33756000,1360771077
Johannesburg,Johannesburg,-26.2044,28.0456,South Africa,ZA,ZAF,Gauteng,admin,7860781,1710550792
